,GEO,REF_DATE,DGUID,uom_houseindex,scalar_houseindex,house_only,land_only,total_house_land,uom_income,scalar_income,statistic_income,income,uom_expenditure,scalar_expenditure,statistic_expenditure,food_expenditures,income_taxes,mortageinsurance,mortagePaid,accomodation,rent,shelter,total_expenditure,taxes_landregfees,uom_tourist,scalar_tourist,international_tourism,domestic_tourism,uom_labourforce,scalar_labourforce,statistic_labourforce,employment,fulltime,labourforce,parttime,population,unemployment,uom_lfperc,scalar_lfperc,statistic_labourforceperc,employment_rate,participationrate,unemployment_rate,uom_crime,scalar_crime,statistic_crime,crime_incidents,uom_cpi,scalar_cpi,cpi_index,uom_oil,scalar_oil,diesel_fillingstations,diesel_selfservstations,premium_fillingstations,premium_selfservstations,regular_fillingstations,regular_selfservstations,uom_imm,scalar_imm,immigrants,1y_fixed_posted,2y_bond,3y_bond,3y_fixed_posted,5y_bond,5y_fixed_posted,7y_bond,10y_bond,bank,overnight,overnight_target,prime,Mean_Max_Temp,Mean_Min_Temp,Mean_Temp,Total_Rain,Total_Snow,predicted_total_house_index
230,Quebec,2009-02,2016A000224,"Index, 201612=100",units,91.8,86.3,90.0,,,,,,,,,,,,,,,,,Persons,unit,435969.0,683141.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",2460.4333,2023.65,2681.5667,436.76666,3944.7166,221.11667,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",59.35,65.3,9.066667,Number,unit,"Total of all violations-Rate per 100,000 population",485.98,Percent,unit,2.7,Cents per litre,units,95.75,95.6999969482,98.9500007629,97.4500007629,90.6500015259,89.4499969482,,,,5.0,1.215,1.6145,5.15,2.048,5.79,2.319,2.96,1.25,0.9979,1.0,3.0,-6.2,-17.3,-11.8,7.2,62.3,89.2813339233
231,Ontario,2014-07,2016A000235,"Index, 201612=100",units,88.6,94.0,90.4,,,,,Dollars,unit,Average expenditure per household,158.08,675.17,1293.83,9.08,513.33,1474.58,309.58,1617.42,7033.83,Persons,unit,2667196.0,4860362.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",4380.3667,3573.6833,4726.3,806.68335,6875.6,345.93332,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",60.65,66.066666,8.166667,Number,unit,"Total of all violations-Rate per 100,000 population",333.55,Percent,unit,1.6,Cents per litre,units,,,,153.700002035,,138.333333333,Persons,units,21653.0,3.14,1.09954545455,1.14818181818,3.75,1.51954545455,4.79,1.79954545455,2.19454545455,1.25,1.00012727273,1.0,3.0,,,,,,90.3966293335
232,Ontario,2018-01,2016A000235,"Index, 201612=100",units,104.0,106.6,104.6,,,,,,,,,,,,,,,,,Persons,unit,2210412.0,3363033.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",4562.3833,3788.2,4820.1167,774.18335,7177.3335,257.76666,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",60.983334,64.88333,6.05,,,,,Percent,unit,1.8,Cents per litre,units,,,,142.300003052,,124.266667684,Persons,units,38700.0,3.3,1.77818181818,1.845,3.986,1.99772727273,5.08,2.09227272727,2.19818181818,1.36956521739,1.11860454545,1.11956521739,3.3,,,,,,104.4974823
233,Manitoba,1988-12,2016A000246,"Index, 201612=100",units,40.3,32.6,38.2,,,,,,,,,,,,,,,,,Persons,unit,87676.0,130084.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",321.46667,263.38333,346.4,58.083332,498.76666,24.933332,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",61.166668,66.166664,7.116667,,,,,Percent,unit,,Cents per litre,units,,,,,44.9000015259,,,,,12.0,,,,,12.25,,,,,,12.25,-11.0,-20.8,-15.9,0.0,37.0,38.2766418457
234,Manitoba,1996-09,2016A000246,"Index, 201612=100",units,45.7,35.1,42.6,,,,,,,,,,,,,,,,,Persons,unit,123660.0,203902.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",327.7,265.75,350.78333,61.966667,512.15,23.05,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",59.9,64.45,6.95,,,,,Percent,unit,1.5,Cents per litre,units,49.5,50.9000015259,67.5999984741,66.6999969482,58.7000007629,57.9000015259,,,,6.13,,,,,7.95,,,,,,5.75,17.4,6.8,12.1,0.0,,42.6132278442
235,Manitoba,2015-11,2016A000246,"Index, 201612=100",units,96.9,99.5,97.7,,,,,Dollars,unit,Average expenditure per household,98.58,705.5,1116.42,14.0,404.75,1112.17,181.5,1230.0,6420.25,Persons,unit,88100.0,129338.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",403.58334,329.5,428.31668,74.1,603.63336,24.733334,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",64.23333,68.65,6.35,Number,unit,"Total of all violations-Rate per 100,000 population",741.99,Percent,unit,1.8,Cents per litre,units,,100.699996948,,113.900001526,,98.4000015259,,,,3.14,0.6265,0.6705,3.39,0.947,4.64,1.2565,1.6335,0.75,0.499145,0.5,2.7,,,,,,97.6016311646
236,Manitoba,2017-09,2016A000246,"Index, 201612=100",units,104.1,100.6,102.9,,,,,,,,,,,,,,,,,Persons,unit,109106.0,169648.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",408.58334,334.81668,431.73334,73.78333,618.35,23.133333,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",63.6,67.75,6.0833335,Number,unit,"Total of all violations-Rate per 100,000 population",809.02,Percent,unit,1.5,Cents per litre,units,,99.6999969482,,117.0,,100.199996948,,,,3.1275,1.5325,1.592,3.4775,1.75,4.8525,1.884,2.0495,1.21428571429,0.97019,0.964285714286,3.1375,,,,,,102.463233948
237,Saskatchewan,1987-09,2016A000247,"Index, 201612=100",units,32.0,31.8,32.0,,,,,,,,,,,,,,,,,Persons,unit,41480.0,62077.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",289.36667,230.11667,310.85,59.283333,454.56668,21.483334,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",60.683334,65.36667,6.85,,,,,Percent,unit,,Cents per litre,units,,,,,49.0999984741,,,,,10.75,,,,,12.0,,,,,,10.0,23.0,6.4,14.7,4.2,0.0,31.7759799957
238,Saskatchewan,2006-10,2016A000247,"Index, 201612=100",units,59.8,53.4,58.0,Percent,units,"5-year percent change of median income, Both sexes, All age groups",1.92,,,,,,,,,,,,,Persons,unit,25676.0,49796.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",316.31668,258.13333,328.75,58.216667,454.91666,12.416667,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",66.98333,69.86667,4.0833335,Number,unit,"Total of all violations-Rate per 100,000 population",1271.93,Percent,unit,2.1,Cents per litre,units,,88.25,100.75,101.100002289,90.7000007629,90.6500015259,Persons,units,1380.0,6.4,4.01772727273,4.01954545455,6.56,4.015,6.68,4.045,4.10954545455,4.5,4.23849047619,4.25,6.0,8.0,-2.8,2.6,7.8,2.2,58.9496955872
239,Saskatchewan,2009-11,2016A000247,"Index, 201612=100",units,93.0,80.3,89.8,,,,,,,,,,,,,,,,,Persons,unit,35611.0,57446.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",333.85,275.71667,351.96667,58.133335,480.98334,18.116667,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",66.55,70.566666,5.633333,Number,unit,"Total of all violations-Rate per 100,000 population",1196.5,Percent,unit,2.1,Cents per litre,units,,94.5499992371,111.149997711,111.850002289,99.75,99.8500022888,,,,3.72,1.2919047619,1.76523809524,4.37,2.58238095238,5.74,2.88619047619,3.38571428571,0.5,0.242805,0.25,2.25,,,,,,89.9742050171
240,British Columbia,2011-05,2016A000259,"Index, 201612=100",units,96.2,99.2,97.1,,,,,Dollars,unit,Average expenditure per household,115.33,676.75,977.17,6.33,477.25,1270.58,288.5,1385.33,6266.33,Persons,unit,1347947.0,2025061.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",1416.0,1112.8833,1524.2,303.13333,2262.1333,108.183334,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",59.716667,64.8,7.9,Number,unit,"Total of all violations-Rate per 100,000 population",775.64,Percent,unit,1.8,Cents per litre,units,133.949996948,131.699996948,152.799995422,149.300003052,138.300003052,135.550003052,,,,3.7,1.63727272727,1.96545454545,4.55,2.47090909091,5.65,2.77545454545,3.14863636364,1.25,0.996533333333,1.0,3.0,,,,,,96.8266525269
241,British Columbia,2017-11,2016A000259,"Index, 201612=100",units,108.7,104.4,107.6,,,,,,,,,,,,,,,,,Persons,unit,1021321.0,1501460.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",1579.2167,1259.3833,1657.2167,319.83334,2426.5166,78.0,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",63.55,66.916664,5.1,Number,unit,"Total of all violations-Rate per 100,000 population",688.57,Percent,unit,1.5,Cents per litre,units,,127.650001526,,155.950004578,,137.700004578,,,,3.24,1.4380952381,1.49047619048,3.74,1.63952380952,4.99,1.75285714286,1.91857142857,1.25,0.991561904762,1.0,3.2,,,,,,106.693321228
242,Nova Scotia,1991-08,2016A000212,"Index, 201612=100",units,54.3,59.8,55.7,,,,,,,,,,,,,,,,,Persons,unit,10486.0,75177.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",241.05,199.6,273.73334,41.416668,429.15,32.7,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",52.083332,59.683334,12.516666,,,,,Percent,unit,3.3,Cents per litre,units,61.2999992371,,63.7999992371,,60.2999992371,,,,,10.0,,,,,11.5,,,,,,9.75,,,,,,55.8097915649
243,Quebec,1990-11,2016A000224,"Index, 201612=100",units,54.9,50.6,53.7,,,,,,,,,,,,,,,,,Persons,unit,578726.0,845323.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",1985.9166,1692.0333,2235.9333,293.88333,3378.1667,250.01666,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",54.433334,61.65,11.65,,,,,Percent,unit,3.6,Cents per litre,units,58.4499988556,60.4500007629,73.1999969482,73.4500007629,67.9499969482,68.3000030518,,,,12.75,,,,,12.75,,,,,,13.25,0.3,-6.2,-3.0,68.3,80.8,53.7104530334
244,Quebec,2009-04,2016A000224,"Index, 201612=100",units,92.2,86.3,90.2,,,,,,,,,,,,,,,,,Persons,unit,563467.0,844056.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",2466.2334,2028.4166,2699.4834,437.81668,3952.0334,233.26666,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",59.483334,65.63333,9.35,Number,unit,"Total of all violations-Rate per 100,000 population",485.98,Percent,unit,2.7,Cents per litre,units,94.0,95.1500015259,98.9500007629,97.5999984741,91.5,89.5999984741,Persons,units,11034.0,4.2,1.06571428571,1.40047619048,4.43,1.89428571429,5.43,2.13,2.95428571429,0.659090909091,0.399857142857,0.409090909091,2.4,8.9,-1.5,3.7,48.4,9.6,90.3207778931
245,Ontario,2000-05,2016A000235,"Index, 201612=100",units,50.1,78.4,57.8,Percent,units,"5-year percent change of median income, Both sexes, All age groups",1.25,,,,,,,,,,,,,Persons,unit,2081872.0,5253266.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",3693.7834,3078.55,3901.8833,615.25,5640.967,208.1,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",60.766666,64.666664,6.0666666,Number,unit,"Total of all violations-Rate per 100,000 population",588.48,Percent,unit,1.6,Cents per litre,units,,,82.633333842,80.2666651408,72.0999984741,70.5,,,,8.3,6.19,6.23,8.55,6.17,8.75,6.19,6.0,6.0,,5.75,7.5,19.3,11.0,15.2,135.2,0.0,57.7088317871
246,Manitoba,1992-12,2016A000246,"Index, 201612=100",units,41.2,33.3,38.9,,,,,,,,,,,,,,,,,Persons,unit,101359.0,140304.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",317.81668,253.13333,350.38333,64.683334,504.53333,32.583332,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",59.366665,66.05,9.933333,,,,,Percent,unit,2.1,Cents per litre,units,47.5999984741,47.9000015259,60.0999984741,60.5999984741,54.2000007629,53.9000015259,,,,7.7,,,,,9.5,,,,,,7.25,-13.2,-22.4,-17.9,0.0,27.6,38.8400650024
247,Manitoba,1994-03,2016A000246,"Index, 201612=100",units,44.5,34.5,41.5,,,,,,,,,,,,,,,,,Persons,unit,130823.0,191674.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",317.55,254.35,349.43332,63.216667,506.78333,31.883333,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",58.966667,65.38333,9.633333,,,,,Percent,unit,1.3,Cents per litre,units,47.5999984741,47.9000015259,57.0,56.2999992371,49.9000015259,48.9000015259,,,,7.0,,,,,8.95,,,,,,6.25,-0.6,-12.3,-6.5,2.8,11.4,40.8502693176
248,Manitoba,2011-07,2016A000246,"Index, 201612=100",units,86.6,85.5,86.4,,,,,Dollars,unit,Average expenditure per household,70.92,607.5,951.58,9.0,324.5,954.33,201.92,1063.75,5683.33,Persons,unit,190146.0,274267.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",386.96667,318.95,409.15,68.066666,573.05,22.166666,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",64.683334,68.96667,6.0333333,Number,unit,"Total of all violations-Rate per 100,000 population",822.16,Percent,unit,1.8,Cents per litre,units,113.699996948,113.699996948,128.899993896,127.099998474,116.599998474,115.199996948,Persons,units,3054.0,3.54,1.48619047619,1.7480952381,4.37,2.19571428571,5.45,2.51285714286,2.93571428571,1.25,0.998455,1.0,3.0,,,,,,86.3449401855
249,Alberta,1990-07,2016A000248,"Index, 201612=100",units,37.5,36.0,37.0,,,,,,,,,,,,,,,,,Persons,unit,138234.0,299976.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",805.73334,676.86664,862.13336,128.86667,1165.1,56.416668,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",64.13333,68.88333,6.85,,,,,Percent,unit,3.5,Cents per litre,units,42.6999988556,43.3499984741,57.0,57.5999984741,53.0500011444,52.8999996185,Persons,units,9807.0,14.25,,,,,14.25,,,,,,14.75,,,,,,36.9634017944
250,Alberta,2015-02,2016A000248,"Index, 201612=100",units,102.3,98.6,101.0,,,,,Dollars,unit,Average expenditure per household,133.33,847.58,2047.92,12.08,580.0,1588.75,374.92,1803.5,9168.67,Persons,unit,280511.0,345753.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",1465.3334,1239.9166,1546.5333,225.41667,2055.1833,81.2,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",67.76667,71.9,5.7166667,Number,unit,"Total of all violations-Rate per 100,000 population",737.17,Percent,unit,1.7,Cents per litre,units,,102.150001526,,103.049999237,,85.1500015259,,,,3.0775,0.438421052632,0.428947368421,3.6975,0.725263157895,4.7775,1.01631578947,1.37947368421,1.0,0.758426315789,0.75,2.85,,,,,,100.756629944
251,Nova Scotia,1990-03,2016A000212,"Index, 201612=100",units,54.7,59.1,55.9,,,,,,,,,,,,,,,,,Persons,unit,14377.0,26424.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",242.13333,203.48334,269.2,38.65,423.05,27.083334,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",53.666668,59.933334,10.116667,,,,,Percent,unit,3.4,Cents per litre,units,53.0,,56.7000007629,,53.7999992371,,,,,13.0,,,,,13.25,,,,,,14.25,,,,,,56.0337181091
252,Nova Scotia,1995-04,2016A000212,"Index, 201612=100",units,59.5,65.6,61.2,,,,,,,,,,,,,,,,,Persons,unit,12146.0,21018.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",238.95,194.53334,269.61667,44.383335,439.43332,30.666666,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",50.25,57.033333,11.8,,,,,Percent,unit,1.3,Cents per litre,units,54.5,,63.7000007629,61.7000007629,55.7000007629,53.7000007629,Persons,units,268.0,9.0,,,,,9.38,,,,,,9.75,,,,,,61.3545913696
253,Nova Scotia,1996-10,2016A000212,"Index, 201612=100",units,60.4,65.6,61.9,,,,,,,,,,,,,,,,,Persons,unit,9098.0,42045.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",239.93333,193.85,275.05,46.1,444.11667,35.1,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",49.783333,57.45,13.116667,,,,,Percent,unit,1.5,Cents per litre,units,54.0999984741,,66.0,64.0,59.7000007629,57.7999992371,Persons,units,667.0,5.35,,,,,7.2,,,,,,5.0,,,,,,62.0840301514
254,Nova Scotia,2001-03,2016A000212,"Index, 201612=100",units,65.7,68.5,66.3,Percent,units,"5-year percent change of median income, Both sexes, All age groups",1.67,,,,,,,,,,,,,Persons,unit,25615.0,34087.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",262.66666,219.35,291.08334,43.316666,454.06668,28.383333,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",53.85,60.3,10.35,Number,unit,"Total of all violations-Rate per 100,000 population",699.02,Percent,unit,1.8,Cents per litre,units,76.9000015259,,83.6999969482,81.5,77.6999969482,74.9000015259,,,,6.7,4.69,4.94,6.95,5.03,7.25,5.3,5.41,5.25,,5.0,6.75,4.3,-6.6,-1.2,,,66.3370361328
255,Nova Scotia,2014-10,2016A000212,"Index, 201612=100",units,98.4,98.5,98.4,,,,,Dollars,unit,Average expenditure per household,105.75,627.25,1032.83,7.0,330.83,1070.42,241.17,1177.5,5875.08,Persons,unit,14506.0,65349.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",286.83334,237.01666,313.75,49.816666,475.9,26.916666,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",58.7,64.85,9.433333,Number,unit,"Total of all violations-Rate per 100,000 population",519.06,Percent,unit,1.6,Cents per litre,units,,127.099998474,,138.800003052,,130.699996948,Persons,units,218.0,3.14,1.02227272727,1.11045454545,3.502,1.49272727273,4.79,1.66318181818,2.01045454545,1.25,1.00067272727,1.0,3.0,,,,,,98.2165298462
256,Quebec,1986-08,2016A000224,"Index, 201612=100",units,42.2,34.2,40.3,,,,,,,,,,,,,,,,,Persons,unit,882264.0,1497330.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",1849.1833,1575.2,2070.3667,273.91666,3214.6667,221.2,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",53.466667,60.283333,11.183333,,,,,Percent,unit,,Cents per litre,units,,,,,51.9499988556,,,,,9.75,,,,,11.0,,,,,,9.75,21.3,9.7,15.5,103.8,0.0,40.2314453125
257,Quebec,2001-03,2016A000224,"Index, 201612=100",units,61.8,55.7,60.0,Percent,units,"5-year percent change of median income, Both sexes, All age groups",1.67,,,,,,,,,,,,,Persons,unit,511689.0,884092.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",2199.5833,1843.9166,2403.95,355.66666,3639.4834,204.31667,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",56.15,61.716667,9.0,Number,unit,"Total of all violations-Rate per 100,000 population",529.3,Percent,unit,1.8,Cents per litre,units,77.6500015259,78.3500022888,85.4500007629,84.4000015259,78.0499992371,77.25,,,,6.7,4.69,4.94,6.95,5.03,7.25,5.3,5.41,5.25,,5.0,6.75,-0.9,-12.2,-6.6,0.0,62.8,60.1739349365
258,Quebec,2002-06,2016A000224,"Index, 201612=100",units,65.6,60.1,63.9,Percent,units,"5-year percent change of median income, Both sexes, All age groups",1.83,,,,,,,,,,,,,Persons,unit,448000.0,976747.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",2297.4333,1916.4833,2501.95,380.98334,3680.8667,204.51666,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",58.533333,64.166664,8.683333,Number,unit,"Total of all violations-Rate per 100,000 population",517.04,Percent,unit,2.1,Cents per litre,units,66.1500015259,65.9000015259,79.1499977112,76.9000015259,71.8499984741,70.75,,,,5.55,3.84,3.96,6.6,4.67,7.25,5.0,5.37,2.75,,2.5,4.25,20.4,7.9,14.2,78.0,0.0,64.2721405029
259,Quebec,2009-12,2016A000224,"Index, 201612=100",units,93.8,87.4,91.8,,,,,,,,,,,,,,,,,Persons,unit,406453.0,672720.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",2478.1667,2036.85,2699.8,441.26666,3987.25,221.61667,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",59.183334,65.183334,9.1,Number,unit,"Total of all violations-Rate per 100,000 population",485.98,Percent,unit,2.0,Cents per litre,units,101.049999237,100.850002289,110.450000763,108.700000763,102.549999237,100.800003052,,,,3.6,1.28476190476,1.7419047619,4.25,2.57571428571,5.52333333333,2.88857142857,3.41619047619,0.5,0.24309047619,0.25,2.25,-5.5,-12.7,-9.1,24.6,107.4,91.6742630005
260,Ontario,2003-07,2016A000235,"Index, 201612=100",units,59.1,79.0,64.8,Percent,units,"5-year percent change of median income, Both sexes, All age groups",1.33,,,,,,,,,,,,,Persons,unit,1921609.0,5398065.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",3957.05,3267.35,4243.45,689.7167,5989.1,286.38333,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",61.583332,66.7,7.4666667,Number,unit,"Total of all violations-Rate per 100,000 population",531.17,Percent,unit,1.9,Cents per litre,units,,,81.633333842,79.6999994914,71.633333842,69.7000020345,Persons,units,30915.0,4.55,2.85,3.05,5.45,3.76,6.2,4.23,4.78,3.25,,3.0,4.75,,,,,,64.5109710693
261,Ontario,2010-09,2016A000235,"Index, 201612=100",units,77.4,89.1,81.0,,,,,Dollars,unit,Average expenditure per household,120.5,644.75,1133.83,7.08,430.83,1253.75,255.5,1393.0,6296.33,Persons,unit,2205848.0,3808292.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",4177.067,3402.6,4572.3,774.4667,6578.8833,395.23334,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",59.633335,65.916664,9.65,Number,unit,"Total of all violations-Rate per 100,000 population",422.78,Percent,unit,1.5,Cents per litre,units,,,117.166666667,115.766665141,104.866666158,102.666666667,,,,3.3,1.41428571429,1.64714285714,4.1,2.15714285714,5.39,2.25666666667,2.88142857143,1.19318181818,0.951171428571,0.943181818182,2.9,,,,,,80.974067688
262,Manitoba,1990-08,2016A000246,"Index, 201612=100",units,41.4,33.1,39.0,,,,,,,,,,,,,,,,,Persons,unit,254857.0,362592.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",326.65,262.9,351.48334,63.766666,501.0,24.833334,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",61.65,66.78333,7.3166666,,,,,Percent,unit,3.4,Cents per litre,units,46.5,46.0,58.9000015259,58.0999984741,54.5,53.9000015259,,,,13.75,,,,,13.5,,,,,,14.25,23.1,11.6,17.4,63.0,0.0,38.8855743408
263,Saskatchewan,1997-05,2016A000247,"Index, 201612=100",units,40.0,36.4,39.0,,,,,,,,,,,,,,,,,Persons,unit,35048.0,65027.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",293.28333,231.63333,311.21667,61.683334,451.45,17.95,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",61.4,65.333336,5.8333335,,,,,Percent,unit,1.6,Cents per litre,units,,56.75,68.25,59.5499992371,59.5499992371,59.3500003815,,,,5.4,,,,,7.35,,,,,,4.75,18.0,4.0,11.0,52.6,3.6,38.6690597534
264,Alberta,2013-09,2016A000248,"Index, 201612=100",units,98.3,95.7,97.4,,,,,Dollars,unit,Average expenditure per household,130.75,777.33,1787.42,13.75,530.83,1421.58,283.0,1621.58,8432.92,Persons,unit,206433.0,329198.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",1427.1666,1208.1333,1490.0167,219.03334,1982.95,62.883335,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",68.433334,71.73333,4.6,Number,unit,"Total of all violations-Rate per 100,000 population",663.49,Percent,unit,1.6,Cents per litre,units,,116.900001526,,128.550003052,,113.299999237,,,,3.14,1.24333333333,1.48333333333,3.95,2.02523809524,5.34,2.31857142857,2.6919047619,1.25,0.99782,1.0,3.0,,,,,,97.4725952148
265,Alberta,2017-07,2016A000248,"Index, 201612=100",units,100.0,100.1,100.1,,,,,,,,,,,,,,,,,Persons,unit,210840.0,432472.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",1459.0834,1204.1167,1579.6666,254.96666,2118.6333,120.583336,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",65.4,71.166664,8.233334,Number,unit,"Total of all violations-Rate per 100,000 population",766.51,Percent,unit,1.4,Cents per litre,units,,96.9499969482,,112.75,,94.3999977112,Persons,units,8279.0,3.14,1.216,1.2935,3.39,1.521,4.74,1.71,1.908,0.916666666667,0.669285,0.666666666667,2.825,,,,,,99.3779067993
266,British Columbia,2001-11,2016A000259,"Index, 201612=100",units,73.2,82.3,75.4,Percent,units,"5-year percent change of median income, Both sexes, All age groups",0.92,,,,,,,,,,,,,Persons,unit,433866.0,906321.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",1219.8334,970.5,1330.1333,249.31667,2003.6167,110.3,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",56.283333,61.916668,9.066667,Number,unit,"Total of all violations-Rate per 100,000 population",1043.14,Percent,unit,2.1,Cents per litre,units,66.3000011444,66.1500015259,76.75,75.2000007629,66.6499977112,64.9999980927,,,,4.6,3.37,3.89,5.75,4.68,6.85,5.1,5.36,2.5,,2.25,4.0,9.2,4.3,6.8,222.0,0.8,75.2388076782
267,British Columbia,2011-11,2016A000259,"Index, 201612=100",units,95.2,98.9,96.3,,,,,Dollars,unit,Average expenditure per household,115.33,676.75,977.17,6.33,477.25,1270.58,288.5,1385.33,6266.33,Persons,unit,1186487.0,1539738.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",1430.0667,1129.3833,1535.7333,300.7,2274.3167,105.666664,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",59.9,64.916664,7.6833334,Number,unit,"Total of all violations-Rate per 100,000 population",775.64,Percent,unit,1.9,Cents per litre,units,139.399993896,139.099998474,141.75,140.649993896,127.800003052,126.75,,,,3.5,0.933333333333,1.05428571429,4.05,1.39428571429,5.29,1.66476190476,2.12238095238,1.25,0.999838095238,1.0,3.0,,,,,,96.4140777588
268,British Columbia,2016-05,2016A000259,"Index, 201612=100",units,98.8,99.2,98.8,,,,,Dollars,unit,Average expenditure per household,150.0,761.58,1193.83,7.25,529.33,1439.58,364.5,1617.17,7153.75,Persons,unit,1142677.0,1985043.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",1504.2833,1206.9833,1598.4833,297.28333,2384.4,94.23333,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",60.9,65.066666,6.3333335,Number,unit,"Total of all violations-Rate per 100,000 population",722.48,Percent,unit,1.7,Cents per litre,units,,106.549999237,,131.400001526,,116.400001526,,,,3.14,0.596666666667,0.629047619048,3.39,0.742380952381,4.64,1.02619047619,1.35,0.75,0.499933333333,0.5,2.7,,,,,,97.7186126709
269,Nova Scotia,1995-12,2016A000212,"Index, 201612=100",units,60.3,65.6,61.8,,,,,,,,,,,,,,,,,Persons,unit,5750.0,18348.0,Persons,thousands,"Both sexes, All age groups, Seasonally adjusted",242.75,195.83333,271.5,46.9,441.63333,28.75,Percentage,unit,"Both sexes, All age groups, Seasonally adjusted",51.083332,57.6,11.083333,,,,,Percent,unit,1.4,Cents per litre,units,53.9000015259,,64.9000015259,62.4000015259,56.9000015259,54.5,,,,7.25,,,,,8.45,,,,,,7.5,,,,,,61.9211883545
